,Id,Group,Label
0,CRIM_Mass_0002_1,Mass,CRIM_Mass_0002_1
1,CRIM_Mass_0002_2,Mass,CRIM_Mass_0002_2
2,CRIM_Mass_0002_3,Mass,CRIM_Mass_0002_3
3,CRIM_Mass_0002_4,Mass,CRIM_Mass_0002_4
4,CRIM_Mass_0002_5,Mass,CRIM_Mass_0002_5
5,CRIM_Mass_0003_1,Mass,CRIM_Mass_0003_1
6,CRIM_Mass_0003_2,Mass,CRIM_Mass_0003_2
7,CRIM_Mass_0003_3,Mass,CRIM_Mass_0003_3
8,CRIM_Mass_0003_4,Mass,CRIM_Mass_0003_4
9,CRIM_Mass_0003_5,Mass,CRIM_Mass_0003_5
10,CRIM_Mass_0005_1,Mass,CRIM_Mass_0005_1
11,CRIM_Mass_0005_2,Mass,CRIM_Mass_0005_2
12,CRIM_Mass_0005_3,Mass,CRIM_Mass_0005_3
13,CRIM_Mass_0005_4,Mass,CRIM_Mass_0005_4
14,CRIM_Mass_0005_5,Mass,CRIM_Mass_0005_5
15,CRIM_Mass_0006_1,Mass,CRIM_Mass_0006_1
16,CRIM_Mass_0006_2,Mass,CRIM_Mass_0006_2
17,CRIM_Mass_0007_1,Mass,CRIM_Mass_0007_1
18,CRIM_Mass_0007_2,Mass,CRIM_Mass_0007_2
19,CRIM_Mass_0007_3,Mass,CRIM_Mass_0007_3
20,CRIM_Mass_0007_4,Mass,CRIM_Mass_0007_4
21,CRIM_Mass_0007_5,Mass,CRIM_Mass_0007_5
22,CRIM_Mass_0008_1,Mass,CRIM_Mass_0008_1
23,CRIM_Mass_0008_2,Mass,CRIM_Mass_0008_2
24,CRIM_Mass_0008_3,Mass,CRIM_Mass_0008_3
25,CRIM_Mass_0008_4,Mass,CRIM_Mass_0008_4
26,CRIM_Mass_0009_1,Mass,CRIM_Mass_0009_1
27,CRIM_Mass_0009_2,Mass,CRIM_Mass_0009_2
28,CRIM_Mass_0009_3,Mass,CRIM_Mass_0009_3
29,CRIM_Mass_0009_4,Mass,CRIM_Mass_0009_4
30,CRIM_Mass_0009_5,Mass,CRIM_Mass_0009_5
31,CRIM_Mass_0010_1,Mass,CRIM_Mass_0010_1
32,CRIM_Mass_0010_2,Mass,CRIM_Mass_0010_2
33,CRIM_Mass_0010_3,Mass,CRIM_Mass_0010_3
34,CRIM_Mass_0010_4,Mass,CRIM_Mass_0010_4
35,CRIM_Mass_0010_5,Mass,CRIM_Mass_0010_5
36,CRIM_Mass_0011_1,Mass,CRIM_Mass_0011_1
37,CRIM_Mass_0011_2,Mass,CRIM_Mass_0011_2
38,CRIM_Mass_0011_3,Mass,CRIM_Mass_0011_3
39,CRIM_Mass_0011_4,Mass,CRIM_Mass_0011_4
40,CRIM_Mass_0011_5,Mass,CRIM_Mass_0011_5
41,CRIM_Mass_0013_1,Mass,CRIM_Mass_0013_1
42,CRIM_Mass_0013_2,Mass,CRIM_Mass_0013_2
43,CRIM_Mass_0013_3,Mass,CRIM_Mass_0013_3
44,CRIM_Mass_0013_4,Mass,CRIM_Mass_0013_4
45,CRIM_Mass_0013_5,Mass,CRIM_Mass_0013_5
46,CRIM_Mass_0014_1,Mass,CRIM_Mass_0014_1
47,CRIM_Mass_0014_2,Mass,CRIM_Mass_0014_2
48,CRIM_Mass_0014_3,Mass,CRIM_Mass_0014_3
49,CRIM_Mass_0014_4,Mass,CRIM_Mass_0014_4
50,CRIM_Mass_0014_5,Mass,CRIM_Mass_0014_5
51,CRIM_Mass_0015_1,Mass,CRIM_Mass_0015_1
52,CRIM_Mass_0015_2,Mass,CRIM_Mass_0015_2
53,CRIM_Mass_0015_3,Mass,CRIM_Mass_0015_3
54,CRIM_Mass_0015_4,Mass,CRIM_Mass_0015_4
55,CRIM_Mass_0015_5,Mass,CRIM_Mass_0015_5
56,CRIM_Mass_0016_1,Mass,CRIM_Mass_0016_1
57,CRIM_Mass_0016_2,Mass,CRIM_Mass_0016_2
58,CRIM_Mass_0016_3,Mass,CRIM_Mass_0016_3
59,CRIM_Mass_0016_4,Mass,CRIM_Mass_0016_4
60,CRIM_Mass_0016_5,Mass,CRIM_Mass_0016_5
61,CRIM_Mass_0017_1,Mass,CRIM_Mass_0017_1
62,CRIM_Mass_0017_2,Mass,CRIM_Mass_0017_2
63,CRIM_Mass_0017_3,Mass,CRIM_Mass_0017_3
64,CRIM_Mass_0017_4,Mass,CRIM_Mass_0017_4
65,CRIM_Mass_0017_5,Mass,CRIM_Mass_0017_5
66,CRIM_Mass_0018_1,Mass,CRIM_Mass_0018_1
67,CRIM_Mass_0018_2,Mass,CRIM_Mass_0018_2
68,CRIM_Mass_0018_3,Mass,CRIM_Mass_0018_3
69,CRIM_Mass_0018_4,Mass,CRIM_Mass_0018_4
70,CRIM_Mass_0018_5,Mass,CRIM_Mass_0018_5
71,CRIM_Mass_0019_1,Mass,CRIM_Mass_0019_1
72,CRIM_Mass_0019_2,Mass,CRIM_Mass_0019_2
73,CRIM_Mass_0019_3,Mass,CRIM_Mass_0019_3
74,CRIM_Mass_0019_4,Mass,CRIM_Mass_0019_4
75,CRIM_Mass_0019_5,Mass,CRIM_Mass_0019_5
76,CRIM_Mass_0020_1,Mass,CRIM_Mass_0020_1
77,CRIM_Mass_0020_2,Mass,CRIM_Mass_0020_2
78,CRIM_Mass_0020_3,Mass,CRIM_Mass_0020_3
79,CRIM_Mass_0020_4,Mass,CRIM_Mass_0020_4
80,CRIM_Mass_0020_5,Mass,CRIM_Mass_0020_5
81,CRIM_Model_0001,Model,CRIM_Model_0001
82,CRIM_Model_0002,Model,CRIM_Model_0002
83,CRIM_Model_0008,Model,CRIM_Model_0008
84,CRIM_Model_0009,Model,CRIM_Model_0009
85,CRIM_Model_0010,Model,CRIM_Model_0010
86,CRIM_Model_0011,Model,CRIM_Model_0011
87,CRIM_Model_0012,Model,CRIM_Model_0012
88,CRIM_Model_0013,Model,CRIM_Model_0013
89,CRIM_Model_0015,Model,CRIM_Model_0015
90,CRIM_Model_0016,Model,CRIM_Model_0016
91,CRIM_Model_0017,Model,CRIM_Model_0017
92,CRIM_Model_0018,Model,CRIM_Model_0018
93,CRIM_Model_0019,Model,CRIM_Model_0019
94,CRIM_Model_0020,Model,CRIM_Model_0020
95,CRIM_Model_0021,Model,CRIM_Model_0021
96,CRIM_Model_0022,Model,CRIM_Model_0022
97,CRIM_Model_0023,Model,CRIM_Model_0023
98,CRIM_Model_0024,Model,CRIM_Model_0024
